,errobars,ksz_curve,rsep
0,0.08518198001366352,-0.08708888497923949,5.0
1,0.06105512442474524,-0.10245043957888736,15.0
2,0.04508590994207933,-0.11675903905538011,25.0
3,0.03727624202925864,-0.07884450154953918,35.0
4,0.030803068269690387,-0.08507308132874697,45.0
5,0.02821031507063722,-0.024044961735324364,55.0
6,0.024290584835657106,-0.03538694131081898,65.0
7,0.021370664666336598,-0.029118724298935476,75.0
8,0.01839489569864479,-0.035605753057025936,85.0
9,0.0171143630032843,-0.026059460375540754,95.0
10,0.01573278110348819,-0.007560352366275848,105.0
11,0.014804704481562157,0.006522239968455378,115.0
12,0.014294757381840967,-0.0056646746842732255,125.0
13,0.013263144749136922,-0.00794153300751696,135.0
14,0.012515605211515481,-0.012902934778541316,145.0
15,0.008500370436463837,0.003945951986175807,175.0
16,0.008129060931259638,1.1229495725145666e-05,225.0
17,0.008047526998463648,-0.0036564343245558315,282.5
18,0.008119670035885639,0.0022996052133492963,355.0
